"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 28 21:41:17 UTC 2026","Sat Feb 28 21:41:17 UTC 2026","766","tests.football_api","test_areas","","","","test_get_all_areas",""
"passed","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","60","tests.gorest_api","test_negative","","","","test_invalid_gorest_token_returns_error",""
"passed","Sat Feb 28 21:41:17 UTC 2026","Sat Feb 28 21:41:18 UTC 2026","476","tests.football_api","test_competitions","","","","test_get_all_competitions",""
"skipped","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","0","tests.gorest_api","test_users","","","","test_create_user_field_combinations[female-inactive]",""
"skipped","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","0","tests.gorest_api","test_users","","","","test_create_user_field_combinations[male-inactive]",""
"skipped","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","0","tests.gorest_api","test_end_to_end","","","","test_user_crud_workflow",""
"skipped","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","0","tests.gorest_api","test_users","","","","test_create_user_field_combinations[female-active]",""
"passed","Sat Feb 28 21:41:19 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","432","tests.football_api","test_competitions","","","","test_get_competition_by_id[bundesliga]",""
"passed","Sat Feb 28 21:41:18 UTC 2026","Sat Feb 28 21:41:19 UTC 2026","610","tests.football_api","test_competitions","","","","test_get_competition_by_id[champions-league]",""
"passed","Sat Feb 28 21:41:19 UTC 2026","Sat Feb 28 21:41:19 UTC 2026","597","tests.football_api","test_competitions","","","","test_get_competition_by_id[premier-league]",""
"broken","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","627","tests.football_api","test_negative","","","","test_invalid_football_api_token_returns_error",""
"skipped","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","0","tests.gorest_api","test_users","","","","test_create_user_field_combinations[male-active]",""
"skipped","Sat Feb 28 21:41:20 UTC 2026","Sat Feb 28 21:41:20 UTC 2026","0","tests.gorest_api","test_negative","","","","test_deleting_user_twice_raises_error",""
